station,valid,tmpf,relh
ALB,2021-01-04 17:09,32.00,92.22
ALB,2021-01-04 17:51,32.00,92.22
ALB,2021-01-04 18:51,34.00,85.11
ALB,2021-01-04 19:14,33.00,88.23
ALB,2021-01-04 19:51,33.00,88.23
ALB,2021-01-04 20:51,33.00,88.23
ALB,2021-01-04 21:22,32.00,92.97
ALB,2021-01-04 21:51,32.00,95.65
ALB,2021-01-04 22:37,32.00,95.65
ALB,2021-01-04 22:51,32.00,95.65
ALB,2021-01-04 23:31,32.00,92.22
ALB,2021-01-04 23:51,32.00,95.65
ALB,2021-01-05 00:51,32.00,95.65
ALB,2021-01-05 01:51,32.00,92.22
ALB,2021-01-05 02:51,32.00,92.22
ALB,2021-01-05 03:51,30.90,100.00
ALB,2021-01-05 04:51,30.90,100.00
ALB,2021-01-05 05:51,30.90,100.00
ALB,2021-01-05 06:11,30.90,100.00
ALB,2021-01-05 06:51,30.90,100.00
ALB,2021-01-05 07:51,30.90,100.00
ALB,2021-01-05 08:51,30.90,100.00
ALB,2021-01-05 09:09,30.90,100.00
ALB,2021-01-05 09:51,30.90,100.00
ALB,2021-01-05 10:51,30.90,96.41
ALB,2021-01-05 11:51,30.90,96.41
ALB,2021-01-05 12:51,30.90,96.41
ALB,2021-01-05 13:27,30.90,96.41
ALB,2021-01-05 13:51,30.90,96.41
ALB,2021-01-05 14:51,30.90,96.41
ALB,2021-01-05 15:51,32.00,88.17
ALB,2021-01-05 16:43,32.00,84.98
ALB,2021-01-05 16:51,32.00,84.98
ALB,2021-01-05 17:51,32.00,84.98
ALB,2021-01-05 18:51,32.00,84.98
ALB,2021-01-05 19:51,32.00,84.98
ALB,2021-01-05 20:51,32.00,84.98
ALB,2021-01-05 21:51,30.90,88.84
ALB,2021-01-05 22:51,30.90,88.84
ALB,2021-01-05 23:51,30.00,88.44
ALB,2021-01-06 00:51,30.00,85.21
ALB,2021-01-06 01:51,28.90,89.12
ALB,2021-01-06 02:51,28.90,85.14
ALB,2021-01-06 03:32,28.40,86.18
ALB,2021-01-06 03:51,28.00,88.33
ALB,2021-01-06 04:51,28.00,85.08
ALB,2021-01-06 05:51,27.00,84.66
ALB,2021-01-06 06:51,27.00,84.66
ALB,2021-01-06 07:25,27.00,84.66
ALB,2021-01-06 07:51,27.00,84.66
ALB,2021-01-06 08:51,27.00,84.66
ALB,2021-01-06 09:07,27.00,84.66
ALB,2021-01-06 09:38,27.00,80.83
ALB,2021-01-06 09:51,27.00,80.83
ALB,2021-01-06 10:51,26.10,83.89
ALB,2021-01-06 11:51,26.10,83.89
ALB,2021-01-06 12:51,26.10,83.89
ALB,2021-01-06 13:51,27.00,84.66
ALB,2021-01-06 14:51,27.00,80.83
ALB,2021-01-06 15:51,28.00,77.57
ALB,2021-01-06 16:51,28.90,74.76
ALB,2021-01-06 17:51,30.00,74.87
ALB,2021-01-06 18:51,30.00,74.87
ALB,2021-01-06 19:51,30.90,75.59
ALB,2021-01-06 20:51,30.90,75.59
ALB,2021-01-06 21:51,30.90,75.59
ALB,2021-01-06 22:51,28.90,78.30
ALB,2021-01-06 23:51,28.90,78.30
ALB,2021-01-07 00:51,28.00,81.25
ALB,2021-01-07 01:51,27.00,84.66
ALB,2021-01-07 02:51,27.00,84.66
ALB,2021-01-07 03:51,26.10,83.89
ALB,2021-01-07 04:51,26.10,80.75
ALB,2021-01-07 05:51,26.10,77.06
ALB,2021-01-07 06:51,25.00,80.66
ALB,2021-01-07 07:51,25.00,77.62
ALB,2021-01-07 08:51,24.10,80.59
ALB,2021-01-07 09:51,23.00,80.85
ALB,2021-01-07 10:51,21.90,84.68
ALB,2021-01-07 11:51,21.90,84.68
ALB,2021-01-07 12:51,21.00,84.62
ALB,2021-01-07 13:51,24.10,77.21
ALB,2021-01-07 14:51,25.00,74.36
ALB,2021-01-07 15:51,27.00,71.45
ALB,2021-01-07 16:51,28.00,71.25
ALB,2021-01-07 17:51,28.90,71.96
ALB,2021-01-07 18:51,30.00,68.81
ALB,2021-01-07 19:51,30.00,68.81
ALB,2021-01-07 20:09,28.90,71.96
ALB,2021-01-07 20:51,28.00,74.67
ALB,2021-01-07 21:51,26.10,77.06
ALB,2021-01-07 22:51,25.00,80.66
ALB,2021-01-07 23:20,25.00,80.66
ALB,2021-01-07 23:51,24.10,83.75
ALB,2021-01-08 00:51,23.00,84.39
ALB,2021-01-08 01:16,23.00,84.39
ALB,2021-01-08 01:51,24.10,83.75
ALB,2021-01-08 02:51,24.10,83.75
ALB,2021-01-08 03:51,23.00,84.39
ALB,2021-01-08 04:51,21.90,84.68
ALB,2021-01-08 05:51,21.90,84.68
ALB,2021-01-08 06:51,21.90,84.68
ALB,2021-01-08 07:51,21.00,84.62
ALB,2021-01-08 08:51,21.00,84.62
ALB,2021-01-08 09:51,19.90,88.68
ALB,2021-01-08 10:51,19.90,84.55
ALB,2021-01-08 11:51,19.90,84.55
ALB,2021-01-08 12:51,19.00,84.49
ALB,2021-01-08 13:51,19.00,84.49
ALB,2021-01-08 14:51,19.00,84.49
ALB,2021-01-08 15:51,19.90,81.30
ALB,2021-01-08 16:51,21.00,77.59
ALB,2021-01-08 17:51,21.90,77.67
ALB,2021-01-08 18:51,24.10,70.81
ALB,2021-01-08 19:43,24.10,70.81
ALB,2021-01-08 19:51,24.10,70.81
ALB,2021-01-08 20:51,24.10,70.81
ALB,2021-01-08 21:51,21.90,74.69
ALB,2021-01-08 22:51,21.00,73.94
ALB,2021-01-08 23:51,19.00,80.52
ALB,2021-01-09 00:51,18.00,84.05
ALB,2021-01-09 01:51,17.10,87.38
ALB,2021-01-09 02:51,17.10,87.38
ALB,2021-01-09 03:51,16.00,87.32
ALB,2021-01-09 04:51,15.10,87.27
ALB,2021-01-09 05:51,14.00,87.20
ALB,2021-01-09 06:51,15.10,83.11
ALB,2021-01-09 07:51,14.00,83.77
ALB,2021-01-09 08:51,14.00,80.10
ALB,2021-01-09 09:51,12.90,84.07
ALB,2021-01-09 10:51,14.00,80.10
ALB,2021-01-09 11:51,15.10,76.34
ALB,2021-01-09 12:51,16.00,76.77
ALB,2021-01-09 13:51,18.00,73.30
ALB,2021-01-09 14:51,19.90,67.57
ALB,2021-01-09 15:51,21.90,67.82
ALB,2021-01-09 16:51,23.00,64.75
ALB,2021-01-09 17:51,24.10,61.83
ALB,2021-01-09 18:51,27.00,60.37
ALB,2021-01-09 19:51,27.00,57.53
ALB,2021-01-09 20:51,27.00,57.53
ALB,2021-01-09 21:51,25.00,62.50
ALB,2021-01-09 22:51,24.10,70.81
ALB,2021-01-09 23:51,23.00,62.23
ALB,2021-01-10 00:51,23.00,62.23
ALB,2021-01-10 01:51,19.90,73.83
ALB,2021-01-10 02:51,21.00,77.59
