"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2022/01/01 00:00:00","CAPITL","61757","1152.006"
"2022/01/01 01:00:00","CAPITL","61757","1107.9177"
"2022/01/01 02:00:00","CAPITL","61757","1079.0995"
"2022/01/01 03:00:00","CAPITL","61757","1059.8034"
"2022/01/01 04:00:00","CAPITL","61757","1064.4894"
"2022/01/01 05:00:00","CAPITL","61757","1082.997"
"2022/01/01 06:00:00","CAPITL","61757","1110.2606"
"2022/01/01 07:00:00","CAPITL","61757","1141.525"
"2022/01/01 08:00:00","CAPITL","61757","1184.7601"
"2022/01/01 09:00:00","CAPITL","61757","1237.387"
"2022/01/01 10:00:00","CAPITL","61757","1284.7181"
"2022/01/01 11:00:00","CAPITL","61757","1306.3224"
"2022/01/01 12:00:00","CAPITL","61757","1337.6218"
"2022/01/01 13:00:00","CAPITL","61757","1331.7124"
"2022/01/01 14:00:00","CAPITL","61757","1332.0077"
"2022/01/01 15:00:00","CAPITL","61757","1339.6336"
"2022/01/01 16:00:00","CAPITL","61757","1392.7432"
"2022/01/01 17:00:00","CAPITL","61757","1446.541"
"2022/01/01 18:00:00","CAPITL","61757","1421.7736"
"2022/01/01 19:00:00","CAPITL","61757","1374.2571"
"2022/01/01 20:00:00","CAPITL","61757","1331.9238"
"2022/01/01 21:00:00","CAPITL","61757","1277.2172"
"2022/01/01 22:00:00","CAPITL","61757","1219.1803"
"2022/01/01 23:00:00","CAPITL","61757","1147.9521"
"2022/01/02 00:00:00","CAPITL","61757","1098.3584"
"2022/01/02 01:00:00","CAPITL","61757","1070.0256"
"2022/01/02 02:00:00","CAPITL","61757","1057.1124"
"2022/01/02 03:00:00","CAPITL","61757","1050.2304"
"2022/01/02 04:00:00","CAPITL","61757","1058.0033"
"2022/01/02 05:00:00","CAPITL","61757","1076.8714"
"2022/01/02 06:00:00","CAPITL","61757","1115.6048"
"2022/01/02 07:00:00","CAPITL","61757","1172.439"
"2022/01/02 08:00:00","CAPITL","61757","1238.9172"
"2022/01/02 09:00:00","CAPITL","61757","1303.3128"
"2022/01/02 10:00:00","CAPITL","61757","1363.9568"
"2022/01/02 11:00:00","CAPITL","61757","1396.3733"
"2022/01/02 12:00:00","CAPITL","61757","1416.3665"
"2022/01/02 13:00:00","CAPITL","61757","1416.3115"
"2022/01/02 14:00:00","CAPITL","61757","1441.2418"
"2022/01/02 15:00:00","CAPITL","61757","1476.0475"
"2022/01/02 16:00:00","CAPITL","61757","1558.4664"
"2022/01/02 17:00:00","CAPITL","61757","1622.7267"
"2022/01/02 18:00:00","CAPITL","61757","1604.6542"
"2022/01/02 19:00:00","CAPITL","61757","1563.9759"
"2022/01/02 20:00:00","CAPITL","61757","1510.056"
"2022/01/02 21:00:00","CAPITL","61757","1437.3163"
"2022/01/02 22:00:00","CAPITL","61757","1347.2376"
"2022/01/02 23:00:00","CAPITL","61757","1266.1085"
"2022/01/03 00:00:00","CAPITL","61757","1218.3628"
"2022/01/03 01:00:00","CAPITL","61757","1186.0471"
"2022/01/03 02:00:00","CAPITL","61757","1186.2405"
"2022/01/03 03:00:00","CAPITL","61757","1199.8013"
"2022/01/03 04:00:00","CAPITL","61757","1232.9962"
"2022/01/03 05:00:00","CAPITL","61757","1300.2195"
"2022/01/03 06:00:00","CAPITL","61757","1427.547"
"2022/01/03 07:00:00","CAPITL","61757","1520.6024"
"2022/01/03 08:00:00","CAPITL","61757","1555.5187"
"2022/01/03 09:00:00","CAPITL","61757","1574.1967"
"2022/01/03 10:00:00","CAPITL","61757","1597.2409"
"2022/01/03 11:00:00","CAPITL","61757","1614.6717"
"2022/01/03 12:00:00","CAPITL","61757","1618.5108"
"2022/01/03 13:00:00","CAPITL","61757","1612.7857"
"2022/01/03 14:00:00","CAPITL","61757","1617.2743"
"2022/01/03 15:00:00","CAPITL","61757","1635.1479"
"2022/01/03 16:00:00","CAPITL","61757","1698.1574"
"2022/01/03 17:00:00","CAPITL","61757","1789.1157"
"2022/01/03 18:00:00","CAPITL","61757","1783.3571"
"2022/01/03 19:00:00","CAPITL","61757","1741.4905"
"2022/01/03 20:00:00","CAPITL","61757","1681.0524"
"2022/01/03 21:00:00","CAPITL","61757","1598.1186"
"2022/01/03 22:00:00","CAPITL","61757","1503.6925"
"2022/01/03 23:00:00","CAPITL","61757","1432.3971"
"2022/01/04 00:00:00","CAPITL","61757","1379.4289"
"2022/01/04 01:00:00","CAPITL","61757","1355.0447"
"2022/01/04 02:00:00","CAPITL","61757","1341.0962"
"2022/01/04 03:00:00","CAPITL","61757","1337.7157"
"2022/01/04 04:00:00","CAPITL","61757","1367.8931"
"2022/01/04 05:00:00","CAPITL","61757","1424.0371"
"2022/01/04 06:00:00","CAPITL","61757","1550.9932"
"2022/01/04 07:00:00","CAPITL","61757","1634.5167"
