"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2024/01/01 00:00:00","CAPITL","61757","1158.3244"
"2024/01/01 01:00:00","CAPITL","61757","1121.8972"
"2024/01/01 02:00:00","CAPITL","61757","1096.5224"
"2024/01/01 03:00:00","CAPITL","61757","1084.9765"
"2024/01/01 04:00:00","CAPITL","61757","1088.6434"
"2024/01/01 05:00:00","CAPITL","61757","1103.7322"
"2024/01/01 06:00:00","CAPITL","61757","1141.5397"
"2024/01/01 07:00:00","CAPITL","61757","1181.9367"
"2024/01/01 08:00:00","CAPITL","61757","1210.0108"
"2024/01/01 09:00:00","CAPITL","61757","1235.6359"
"2024/01/01 10:00:00","CAPITL","61757","1262.9099"
"2024/01/01 11:00:00","CAPITL","61757","1259.6213"
"2024/01/01 12:00:00","CAPITL","61757","1217.8582"
"2024/01/01 13:00:00","CAPITL","61757","1164.8239"
"2024/01/01 14:00:00","CAPITL","61757","1219.6426"
"2024/01/01 15:00:00","CAPITL","61757","1324.9292"
"2024/01/01 16:00:00","CAPITL","61757","1456.9772"
"2024/01/01 17:00:00","CAPITL","61757","1543.4148"
"2024/01/01 18:00:00","CAPITL","61757","1536.3224"
"2024/01/01 19:00:00","CAPITL","61757","1511.4691"
"2024/01/01 20:00:00","CAPITL","61757","1456.5335"
"2024/01/01 21:00:00","CAPITL","61757","1385.2783"
"2024/01/01 22:00:00","CAPITL","61757","1305.669"
"2024/01/01 23:00:00","CAPITL","61757","1238.5661"
"2024/01/02 00:00:00","CAPITL","61757","1193.9483"
"2024/01/02 01:00:00","CAPITL","61757","1167.4918"
"2024/01/02 02:00:00","CAPITL","61757","1153.1728"
"2024/01/02 03:00:00","CAPITL","61757","1155.7066"
"2024/01/02 04:00:00","CAPITL","61757","1182.3269"
"2024/01/02 05:00:00","CAPITL","61757","1252.4284"
"2024/01/02 06:00:00","CAPITL","61757","1368.3523"
"2024/01/02 07:00:00","CAPITL","61757","1443.6186"
"2024/01/02 08:00:00","CAPITL","61757","1455.5608"
"2024/01/02 09:00:00","CAPITL","61757","1409.2626"
"2024/01/02 10:00:00","CAPITL","61757","1384.6971"
"2024/01/02 11:00:00","CAPITL","61757","1306.4139"
"2024/01/02 12:00:00","CAPITL","61757","1248.8809"
"2024/01/02 13:00:00","CAPITL","61757","1267.4045"
"2024/01/02 14:00:00","CAPITL","61757","1330.3836"
"2024/01/02 15:00:00","CAPITL","61757","1406.4126"
"2024/01/02 16:00:00","CAPITL","61757","1516.4222"
"2024/01/02 17:00:00","CAPITL","61757","1612.8012"
"2024/01/02 18:00:00","CAPITL","61757","1616.3719"
"2024/01/02 19:00:00","CAPITL","61757","1577.0105"
"2024/01/02 20:00:00","CAPITL","61757","1530.1647"
"2024/01/02 21:00:00","CAPITL","61757","1447.6652"
"2024/01/02 22:00:00","CAPITL","61757","1349.1057"
"2024/01/02 23:00:00","CAPITL","61757","1269.8413"
"2024/01/03 00:00:00","CAPITL","61757","1214.9099"
"2024/01/03 01:00:00","CAPITL","61757","1181.5267"
"2024/01/03 02:00:00","CAPITL","61757","1166.5493"
"2024/01/03 03:00:00","CAPITL","61757","1160.0285"
"2024/01/03 04:00:00","CAPITL","61757","1180.52"
"2024/01/03 05:00:00","CAPITL","61757","1236.0218"
"2024/01/03 06:00:00","CAPITL","61757","1351.2623"
"2024/01/03 07:00:00","CAPITL","61757","1427.6254"
"2024/01/03 08:00:00","CAPITL","61757","1441.6547"
"2024/01/03 09:00:00","CAPITL","61757","1427.2692"
"2024/01/03 10:00:00","CAPITL","61757","1433.3044"
"2024/01/03 11:00:00","CAPITL","61757","1430.2237"
"2024/01/03 12:00:00","CAPITL","61757","1419.1492"
"2024/01/03 13:00:00","CAPITL","61757","1415.9188"
"2024/01/03 14:00:00","CAPITL","61757","1429.1192"
"2024/01/03 15:00:00","CAPITL","61757","1450.8141"
"2024/01/03 16:00:00","CAPITL","61757","1513.9959"
